;Title;Link;Type;Year_Release;Duration;Country;Directors;Cast;Genres;Description;RatingAverage;Votes;Reviews
192;Bitter Daisies;https://www.filmaffinity.com/es/film938902.html;series;;;;;;;;;;
193;Alias Grace;https://www.filmaffinity.com/us/film971429.html;series;;;;;;;;;;
194;The Stranger;https://www.filmaffinity.com/us/film277895.html;series;;;;;;;;;;
195;Undercover Law;https://www.filmaffinity.com/us/film473488.html;series;;;;;;;;;;
196;Ingobernable;https://www.filmaffinity.com/us/film561233.html;series;;;;;;;;;;
197;Luther;https://www.filmaffinity.com/us/film821394.html;series;;;;;;;;;;
198;Hache;https://www.filmaffinity.com/us/film551378.html;series;;;;;;;;;;
199;Suburra: Blood on Rome;https://www.filmaffinity.com/us/film922716.html;series;;;;;;;;;;
200;Extracurricular;https://www.filmaffinity.com/us/film491317.html;series;;;;;;;;;;
201;BAKI;https://www.filmaffinity.com/us/film342360.html;series;;;;;;;;;;
202;JoJo's Bizarre Adventure;https://www.filmaffinity.com/us/film662961.html;series;;;;;;;;;;
203;Haikyu!!;https://www.filmaffinity.com/us/film821047.html;series;;;;;;;;;;
204;DEATH NOTE;https://www.filmaffinity.com/us/film686560.html;series;;;;;;;;;;
205;Sword Art Online;https://www.filmaffinity.com/us/film385353.html;series;;;;;;;;;;
206;Darling in the Franxx;https://www.filmaffinity.com/us/film888928.html;series;;;;;;;;;;
207;Tokyo Ghoul;https://www.filmaffinity.com/us/film194361.html;series;;;;;;;;;;
208;Fairy Tail;https://www.filmaffinity.com/us/film586622.html;series;;;;;;;;;;
209;Cardcaptor Sakura;https://www.filmaffinity.com/us/film137238.html;series;;;;;;;;;;
210;KENGAN ASHURA;https://www.filmaffinity.com/us/film287365.html;series;;;;;;;;;;
211;BEASTARS;https://www.filmaffinity.com/us/film736452.html;series;;;;;;;;;;
212;​SAINT SEIYA: Knights of the Zodiac;https://www.filmaffinity.com/us/film315698.html;series;;;;;;;;;;
213;Neon Genesis Evangelion;https://www.filmaffinity.com/us/film384644.html;series;;;;;;;;;;
214;Fullmetal Alchemist: Brotherhood;https://www.filmaffinity.com/us/film916461.html;series;;;;;;;;;;
215;Noragami;https://www.filmaffinity.com/us/film315845.html;series;;;;;;;;;;
216;Castlevania;https://www.filmaffinity.com/us/film500190.html;series;;;;;;;;;;
217;Your lie in April;https://www.filmaffinity.com/us/film729626.html;series;;;;;;;;;;
218;Kakegurui;https://www.filmaffinity.com/us/film686739.html;series;;;;;;;;;;
219;Re:Zero - Starting Life in Another World;https://www.filmaffinity.com/us/film925328.html;series;;;;;;;;;;
220;InuYasha;https://www.filmaffinity.com/us/film871300.html;series;;;;;;;;;;
221;Akame ga Kill!;https://www.filmaffinity.com/us/film672631.html;series;;;;;;;;;;
222;Seraph of the End;https://www.filmaffinity.com/us/film771065.html;series;;;;;;;;;;
223;Dorohedoro;https://www.filmaffinity.com/us/film352406.html;series;;;;;;;;;;
224;Toradora!;https://www.filmaffinity.com/us/film845203.html;series;;;;;;;;;;
225;Little Witch Academia;https://www.filmaffinity.com/us/film666597.html;series;;;;;;;;;;
226;Blue Exorcist;https://www.filmaffinity.com/us/film604936.html;series;;;;;;;;;;
227;Is It Wrong to Try to Pick Up Girls in a Dungeon?;https://www.filmaffinity.com/us/film752282.html;series;;;;;;;;;;
228;Erased;https://www.filmaffinity.com/us/film396799.html;series;;;;;;;;;;
229;Psycho-Pass;https://www.filmaffinity.com/us/film486989.html;series;;;;;;;;;;
230;No Game No Life;https://www.filmaffinity.com/us/film800672.html;series;;;;;;;;;;
231;Saint Seiya: The Lost Canvas;https://www.filmaffinity.com/us/film458317.html;series;;;;;;;;;;
232;High School of the Dead;https://www.filmaffinity.com/us/film614765.html;series;;;;;;;;;;
233;The Disastrous Life of Saiki K.;https://www.filmaffinity.com/us/film885215.html;series;;;;;;;;;;
234;Glitter Force;https://www.filmaffinity.com/us/film153899.html;series;;;;;;;;;;
235;ReLIFE;https://www.filmaffinity.com/us/film781508.html;series;;;;;;;;;;
236;Code Geass: Lelouch of the Rebellion;https://www.filmaffinity.com/us/film311062.html;series;;;;;;;;;;
237;Devilman Crybaby;https://www.filmaffinity.com/us/film608192.html;series;;;;;;;;;;
238;Violet Evergarden;https://www.filmaffinity.com/us/film602911.html;series;;;;;;;;;;
239;Fullmetal Alchemist;https://www.filmaffinity.com/us/film278491.html;series;;;;;;;;;;
240;Teasing Master Takagi-san;https://www.filmaffinity.com/us/film700019.html;series;;;;;;;;;;
241;Hi Score Girl;https://www.filmaffinity.com/us/film101269.html;series;;;;;;;;;;
242;Black Lagoon;https://www.filmaffinity.com/us/film188031.html;series;;;;;;;;;;
243;Magi: Adventure of Sinbad;https://www.filmaffinity.com/us/film878660.html;series;;;;;;;;;;
244;"STEINS;GATE";https://www.filmaffinity.com/us/film145548.html;series;;;;;;;;;;
245;Made in Abyss;https://www.filmaffinity.com/us/film565601.html;series;;;;;;;;;;
246;The Asterisk War;https://www.filmaffinity.com/us/film775929.html;series;;;;;;;;;;
